Observation id,Behavior,Start (s),Stop (s),Comment start
20230331_WT031623_26dpf_25fps,S,1061.679,1061.679,
20230331_WT031623_26dpf_25fps,X,1070.104,1070.104,
20230331_WT031623_26dpf_25fps,C,1076.6,1076.6,
20230331_WT031623_26dpf_25fps,S,1116.325,1116.325,
20230331_WT031623_26dpf_25fps,C,1120.356,1120.356,
20230331_WT031623_26dpf_25fps,X,1126.05,1126.05,
20230331_WT031623_26dpf_25fps,C,1135.173,1135.173,
20230331_WT031623_26dpf_25fps,C,1140.104,1140.104,
20230331_WT031623_26dpf_25fps,X,1172.511,1172.511,
20230331_WT031623_26dpf_25fps,C,1186.082,1186.082,
20230331_WT031623_26dpf_25fps,C,1196.855,1196.855,
20230331_WT031623_26dpf_25fps,S,1213.876,1213.876,
20230331_WT031623_26dpf_25fps,L,1222.852,1222.852,
20230331_WT031623_26dpf_25fps,C,1225.954,1225.954,
20230331_WT031623_26dpf_25fps,C,1231.303,1231.303,EXTENDED BOUT
20230331_WT031623_26dpf_25fps,C,1250.581,1250.581,
20230331_WT031623_26dpf_25fps,C,1266.128,1266.128,
20230331_WT031623_26dpf_25fps,X,1277.325,1277.325,
20230331_WT031623_26dpf_25fps,C,1289.724,1289.724,
20230331_WT031623_26dpf_25fps,S,1293.429,1293.429,
20230331_WT031623_26dpf_25fps,C,1321.381,1321.381,
20230331_WT031623_26dpf_25fps,C,1323.029,1323.029,
20230331_WT031623_26dpf_25fps,C,1329.205,1329.205,
20230331_WT031623_26dpf_25fps,X,1336.556,1336.556,
20230331_WT031623_26dpf_25fps,X,1343.327,1343.327,
20230331_WT031623_26dpf_25fps,X,1350.626,1350.626,
20230331_WT031623_26dpf_25fps,X,1355.88,1355.88,
20230331_WT031623_26dpf_25fps,X,1368.581,1368.581,
20230331_WT031623_26dpf_25fps,C,1370.648,1370.648,
20230331_WT031623_26dpf_25fps,X,1395.704,1395.704,
20230331_WT031623_26dpf_25fps,X,1397.924,1397.924,
20230331_WT031623_26dpf_25fps,C,1411.205,1411.205,
20230331_WT031623_26dpf_25fps,X,1420.13,1420.13,
20230331_WT031623_26dpf_25fps,X,1431.18,1431.18,
20230331_WT031623_26dpf_25fps,S,1437.631,1437.631,
20230331_WT031623_26dpf_25fps,C,1447.978,1447.978,
20230331_WT031623_26dpf_25fps,C,1458.48,1458.48,
20230331_WT031623_26dpf_25fps,X,1488.356,1488.356,
20230331_WT031623_26dpf_25fps,C,1498.605,1498.605,
20230331_WT031623_26dpf_25fps,S,1507.324,1507.324,
20230331_WT031623_26dpf_25fps,C,1517.255,1517.255,
20230331_WT031623_26dpf_25fps,C,1521.282,1521.282,
20230331_WT031623_26dpf_25fps,C,1527.356,1527.356,
20230331_WT031623_26dpf_25fps,C,1530.628,1530.628,
20230331_WT031623_26dpf_25fps,X,1542.58,1542.58,
20230331_WT031623_26dpf_25fps,C,1570.73,1570.73,
20230331_WT031623_26dpf_25fps,X,1600.1,1600.1,
20230331_WT031623_26dpf_25fps,S,1613.605,1613.605,
20230331_WT031623_26dpf_25fps,C,1621.429,1621.429,
20230331_WT031623_26dpf_25fps,X,1665.102,1665.102,
20230331_WT031623_26dpf_25fps,X,1678.955,1678.955,
20230331_WT031623_26dpf_25fps,S,1692.98,1692.98,
20230331_WT031623_26dpf_25fps,C,1719.127,1719.127,
20230331_WT031623_26dpf_25fps,C,1722.679,1722.679,
20230331_WT031623_26dpf_25fps,C,1730.052,1730.052,
20230331_WT031623_26dpf_25fps,C,1740.756,1740.756,
20230331_WT031623_26dpf_25fps,X,1753.451,1753.451,
20230331_WT031623_26dpf_25fps,S,1772.299,1772.299,
